prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.74784285	-100	-0.37962762	-100	-0.5934385	-100	-100	-0.6004784	-0.33390644	-100	-100	-0.5218929	-0.79319113	-100	-0.26097313	-100	-0.60817224	-100	-0.1542349	-100	-100	-0.70095295	-0.36620188	-100	-0.2194525	-100	-100	-0.8326557	-0.40910774	-100	-0.15892874	-100	-100	-0.65254104
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.19830069	-100	-0.43416297	-100	-0.23764469	-100	-0.31069964	-100	-100	-0.34105635	-0.21198015	-100	-0.18661033	-100	-100	-0.80137575	-0.58456755	-100	-0.33468533	-100	-0.6827525	-100	-0.21853529	-100	-0.40592533	-100	-100	-0.7836462	-100	-0.76109374	-0.40496987	-100	-0.25826228	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.14709371	-100	-0.65069044	-100	-0.27802974	-100	-0.15595111	-100	-0.7495802	-100	-0.5923672	-100	-0.25446713	-100	-0.2538643	-100	-100	-0.83867955	-0.21046484	-100	-0.99569637	-100	-0.34780088	-100	-0.3101595	-100	-100	-0.8765925	-0.25181034	-100	-0.16425456	-100	-0.1642113	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.12119348	-100	-0.6969426	-100	-0.25874108	-100	-0.29549745	-100	-100	-0.7301844	-0.24515986	-100	-0.20582852	-100	-0.117741756	-100	-0.26278266	-100	-0.35087836	-100	-0.16035436	-100	-0.18698874	-100	-0.44961107	-100	-0.2894937	-100	-0.18846567	-100	-0.4201688	-100	-0.373849	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.13617432	-100	-0.25579765	-100	-0.21615043	-100	-0.33928218	-100	-0.6639028	-100	-0.47464362	-100	-0.16755629	-100	-0.1628482	-100	-0.54775256	-100	-0.18049811	-100	-0.578991	-100	-0.32583347	-100	-0.16210191	-100	-0.30620462	-100	-0.1994587	-100	-0.14715566	-100	-0.23589009	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.15070179	-100	-0.26588002	-100	-0.28063753	-100	-0.20576686	-100	-0.14142497	-100	-0.31787956	-100	-0.16326818	-100	-0.3412472	-100	-0.43023452	-100	-0.14628161	-100	-0.47454917	-100	-0.26250616	-100	-0.3970758	-100	-0.39269486	-100	-0.14197049	-100	-0.42862877	-100	-0.51272887	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.19393119	-100	-0.6803855	-100	-0.21480006	-100	-0.1779462	-100	-0.16029768	-100	-0.1786325	-100	-0.18280047	-100	-0.13297524	-100	-0.57276285	-100	-0.11648972	-100	-0.18542178	-100	-0.17663075	-100	-0.29437104	-100	-0.3283766	-100	-0.13272631	-100	-0.29699597	-100	-0.660182	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.3169239	-100	-0.31783894	-100	-0.1871199	-100	-0.2513583	-100	-0.21979861	-100	-0.2477175	-100	-0.45670688	-100	-0.1674307	-100	-100	-0.48719105	-0.2547922	-100	-0.38736805	-100	-0.29169405	-100	-0.64334553	-100	-0.44297758	-100	-0.20429865	-100	-100	-0.5818577	-0.45182985	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.24207526	-100	-0.24055532	-100	-0.31900182	-100	-0.29452947	-100	-0.13813473	-100	-0.79323304	-100	-0.27399278	-100	-0.40217924	-100	-100	-0.59613913	-0.2628715	-100	-0.34055385	-100	-0.15930457	-100	-0.23775762	-100	-0.6445053	-100	-0.115198374	-100	-0.39079884	-100	-0.18056293	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.7624281	-100	-100	-0.6373738	-100	-0.6439958	-100	-0.87212574	-100	-0.27184618	-0.6385247	-100	-0.7552165	-100	-100	-0.43627357	-0.38058454	-100	-100	-0.7524915	-100	-0.19412044	-0.9182142	-100	-100	-0.59729964	-100	-0.26601994	-0.5525149	-100	-0.46663558	-100	-100	-0.41936886
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.36402518	-100	-0.34016994	-100	-0.25803527	-100	-0.18548018	-100	-0.35289493	-100	-1.0091469	-100	-0.59263414	-100	-0.35195243	-100	-0.25751612	-100	-0.8203951	-100	-100	-0.7611696	-0.20822857	-100	-0.5669247	-100	-0.2973952	-100	-0.22385852	-100	-0.23364764	-100	-0.6173285	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.25250223	-100	-0.5142531	-100	-0.20871711	-100	-0.60180897	-100	-0.21551561	-100	-0.39904165	-100	-0.3129929	-100	-0.60203767	-100	-0.29654098	-100	-0.39994037	-100	-100	-0.61784667	-0.28459972	-100	-100	-0.7520127	-0.5378576	-100	-0.18635494	-100	-0.16693254	-100	-0.6601455	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-0.5046833	-100	-100	-0.8501256	-0.22135608	-100	-0.38016707	-100	-0.3389513	-100	-0.34241268	-100	-0.5741003	-100	-0.22014737	-100	-0.21479134	-100	-0.30865985	-100	-0.2420966	-100	-0.4525855	-100	-0.51163447	-100	-0.5707336	-100	-0.116034895	-100	-0.29547247	-100	-100	-0.7536124
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-0.72836703	-100	-100	-0.75965476	-0.5072762	-100	-0.6451555	-100	-0.46525654	-100	-100	-0.3303656	-100	-0.90626234	-0.22066548	-100	-0.5757499	-100	-100	-0.62985104	-100	-0.63581693	-0.3456534	-100	-100	-0.23440929	-100	-0.5534996	-0.17622374	-100	-0.39770412	-100	-0.37037683	-100
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.18690301	-100	-0.7026847	-100	-0.31118494	-100	-0.3327112	-100	-0.248316	-100	-0.7777464	-100	-0.16667746	-100	-0.1941847	-100	-0.20150639	-100	-0.3806833	-100	-0.2509287	-100	-0.28903976	-100	-100	-0.45383012	-0.54651165	-100	-0.2538026	-100	-0.21689613	-100	-0.35215735	-100
