prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.29172543	-100	-0.08750953	-100	-0.08462054	-100	-0.11426687	-100	-0.110360794	-100	-0.22162312	-100	-0.04576985	-100	-100	-0.08301705	-100	-0.020690437	-100	-0.04622013	-0.024520313	-100	-0.021589484	-100	-100	-0.07041875	-100	-0.05118537	-0.28590453	-100	-100	-0.006866654	-100	-0.49446765
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-100	-0.12384765	-0.04832237	-100	-0.09218595	-100	-0.040012233	-100	-0.038074877	-100	-0.021841116	-100	-0.088069685	-100	-0.061837573	-100	-0.08993317	-100	-0.08083343	-100	-0.19845618	-100	-0.040700905	-100	-0.0886355	-100	-0.16547991	-100	-0.072510585	-100	-0.2240981	-100	-0.11957008	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.12942377	-100	-0.09230924	-100	-0.08544172	-100	-0.05800221	-100	-0.071178034	-100	-0.10807574	-100	-0.11672855	-100	-0.12198089	-100	-0.02242417	-100	-0.03863292	-100	-0.019611465	-100	-100	-100	-0.15177839	-100	-100	-0.12537657	-0.08382538	-100	-0.56573635	-100	-0.123245254	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.24053553	-100	-0.25969255	-100	-0.044628903	-100	-0.044102393	-100	-0.14867227	-100	-0.31528255	-100	-0.10698547	-100	-0.08222414	-100	-0.08385993	-100	-0.09761567	-100	-0.5720626	-100	-0.05518364	-100	-0.13520385	-100	-0.09428932	-100	-0.03696035	-100	-0.20502575	-100	-0.20806931	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.5343771	-100	-0.062916145	-100	-0.066819035	-100	-0.21300946	-100	-100	-0.08895089	-0.30855638	-100	-0.04510499	-100	-0.3702008	-100	-0.27707782	-100	-0.042879965	-100	-0.09900495	-100	-0.06268163	-100	-0.115205936	-100	-0.23022932	-100	-0.07672214	-100	-0.10922848	-100	-0.042944983	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.3635728	-100	-0.1646417	-100	-0.066986516	-100	-0.15661907	-100	-0.091821834	-100	-0.11173245	-100	-0.12529306	-100	-0.12423077	-100	-0.06595843	-100	-0.047121875	-100	-0.06883014	-100	-0.08983196	-100	-0.16349354	-100	-0.35630405	-100	-0.09350692	-100	-0.27431682	-100	-0.15689656	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.35825962	-100	-0.086511426	-100	-0.18696776	-100	-0.09983018	-100	-0.34654373	-100	-0.52449656	-100	-0.18690142	-100	-0.29089046	-100	-100	-0.06113419	-0.08164035	-100	-0.102395065	-100	-0.12699889	-100	-0.11227614	-100	-0.7904761	-100	-0.065512724	-100	-0.4838588	-100	-0.068211995	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.19889684	-100	-100	-0.11191969	-0.22626607	-100	-0.19011836	-100	-0.07584205	-100	-0.1922724	-100	-0.09931988	-100	-0.10322899	-100	-0.18239352	-100	-0.254336	-100	-0.14801154	-100	-0.07400816	-100	-0.122173086	-100	-0.06637664	-100	-0.07314151	-100	-0.12804437	-100	-0.09635852	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.49010313	-100	-0.08014835	-100	-0.72903025	-100	-0.1151753	-100	-0.19898672	-100	-0.12439012	-100	-0.068853706	-100	-0.3083918	-100	-0.2013255	-100	-0.19529368	-100	-0.07024175	-100	-0.0842685	-100	-100	-0.49671054	-0.11550823	-100	-0.25310174	-100	-0.7299761	-100	-0.11865637	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.27251756	-100	-0.13818003	-100	-100	-0.4963901	-100	-0.11205629	-100	-0.06008159	-100	-0.14748703	-0.09495454	-100	-100	-0.5894816	-0.8138885	-100	-0.10686197	-100	-0.106133565	-100	-100	-0.043758534	-100	-0.24367228	-100	-0.18888327	-100	-0.15837167	-100	-0.23819385	-0.43378243	-100
