prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2797281	-100	-100	-0.40048885	-0.21900484	-100	-0.38487488	-100	-100	-0.393654	-0.40731686	-100	-100	-0.48910975	-0.6073035	-100	-0.40517217	-100	-0.25613967	-100	-0.2862622	-100	-0.23366985	-100	-0.45472658	-100	-0.35548085	-100	-100	-0.24277718	-0.76185155	-100	-100	-0.8270829
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.17761667	-100	-0.79167426	-100	-0.23233803	-100	-0.3517724	-100	-100	-0.40134132	-0.55599254	-100	-0.16934398	-100	-0.4031977	-100	-0.30606943	-100	-0.30331445	-100	-0.28010917	-100	-0.33503982	-100	-0.6398689	-100	-0.49488336	-100	-0.13380694	-100	-0.39066944	-100	-0.52157587	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.26852724	-100	-0.29293442	-100	-0.28934237	-100	-0.19358951	-100	-0.44992453	-100	-0.4928362	-100	-0.2082942	-100	-0.26835206	-100	-0.20353459	-100	-0.42726126	-100	-0.23214178	-100	-0.18702589	-100	-0.23197475	-100	-0.28968242	-100	-0.17784907	-100	-0.24966344	-100	-0.40557277	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.2941661	-100	-0.28797594	-100	-0.34815443	-100	-0.2532522	-100	-0.22780022	-100	-0.30144507	-100	-0.22003545	-100	-0.15399945	-100	-0.22162692	-100	-100	-0.73225874	-0.19846816	-100	-0.15176812	-100	-0.48852393	-100	-0.28108197	-100	-0.16047828	-100	-0.38732654	-100	-0.3134899	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.35746968	-100	-0.2555412	-100	-0.429094	-100	-0.20803055	-100	-0.28791288	-100	-0.2198627	-100	-0.2012346	-100	-0.22947092	-100	-0.4731939	-100	-0.1970933	-100	-0.19966501	-100	-0.15835792	-100	-0.16839969	-100	-0.20115691	-100	-0.15339357	-100	-0.5815862	-100	-0.33500576	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.21688464	-100	-0.1544875	-100	-0.27011493	-100	-0.19456854	-100	-0.1697232	-100	-0.22480004	-100	-0.34834543	-100	-0.18052293	-100	-0.298927	-100	-0.1788143	-100	-0.21232332	-100	-0.13362348	-100	-0.42193112	-100	-0.20340617	-100	-0.14739738	-100	-0.39563957	-100	-0.48091432	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.20603803	-100	-0.24814397	-100	-0.21691893	-100	-0.17982507	-100	-0.14780822	-100	-0.32302544	-100	-0.104575105	-100	-0.11013938	-100	-0.60116875	-100	-0.1744833	-100	-0.21746105	-100	-0.12873115	-100	-0.20277354	-100	-0.15643944	-100	-0.23907454	-100	-0.21372986	-100	-0.66302645	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.34754527	-100	-0.24068794	-100	-0.3361316	-100	-0.21413566	-100	-0.2832698	-100	-0.21847714	-100	-0.17320697	-100	-0.22144237	-100	-0.28200012	-100	-0.19200815	-100	-0.3144629	-100	-0.13166447	-100	-0.17454445	-100	-0.19021101	-100	-0.13192585	-100	-0.2405419	-100	-0.24621263	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.17090167	-100	-0.18941894	-100	-0.31570423	-100	-0.18071166	-100	-0.16437049	-100	-0.21082988	-100	-0.13508855	-100	-0.16556545	-100	-0.36959916	-100	-0.21260579	-100	-0.22237045	-100	-0.1700599	-100	-0.14605114	-100	-0.135948	-100	-0.22416857	-100	-0.30454394	-100	-0.31610125	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.5062993	-100	-0.7033065	-100	-100	-0.8290608	-100	-0.67161393	-100	-0.25198784	-0.7176848	-100	-100	-0.9538089	-100	-0.4641048	-0.31892893	-100	-100	-0.3180461	-100	-0.35529003	-100	-0.87894416	-100	-0.42824638	-100	-0.35458842	-100	-0.4123122	-0.5935286	-100	-100	-0.75570387
