prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.55762553	-100	-100	-0.6458025	-0.1858782	-100	-0.3416194	-100	-0.6339939	-100	-0.43950838	-100	-0.36845705	-100	-0.49276197	-100	-100	-0.5134022	-0.29736125	-100	-0.26046124	-100	-0.22389303	-100	-100	-0.66831917	-100	-0.5986243	-0.38427597	-100	-100	-0.60989887	-0.856559	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.23941351	-100	-100	-0.61946046	-0.10989472	-100	-0.19132134	-100	-0.41076162	-100	-0.23920083	-100	-100	-0.5663027	-0.4464326	-100	-0.59794855	-100	-0.20676264	-100	-0.36141384	-100	-0.16228943	-100	-0.167663	-100	-100	-0.38995445	-0.38221672	-100	-100	-0.65970725	-0.6332169	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.19399177	-100	-0.17938003	-100	-0.18697487	-100	-0.22960131	-100	-0.14218973	-100	-0.22074115	-100	-0.15612209	-100	-0.6148603	-100	-0.18732624	-100	-0.15786424	-100	-0.1957824	-100	-0.15439723	-100	-0.25159568	-100	-100	-0.74036527	-0.21764286	-100	-0.5494618	-100	-0.21064967	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.21707894	-100	-0.38728607	-100	-0.42423347	-100	-0.23579131	-100	-0.21719234	-100	-0.22693104	-100	-0.54726285	-100	-0.15380973	-100	-0.20704332	-100	-0.24779952	-100	-0.30454805	-100	-0.1584371	-100	-0.3034797	-100	-0.3248125	-100	-0.21449134	-100	-0.26056775	-100	-0.24483348	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.18286137	-100	-0.34816194	-100	-0.41075695	-100	-0.21944432	-100	-0.18912011	-100	-0.16045205	-100	-0.2344499	-100	-0.18188556	-100	-0.14914134	-100	-0.200637	-100	-0.18073788	-100	-0.16440111	-100	-0.41822642	-100	-0.1779524	-100	-0.20989831	-100	-0.7348621	-100	-0.19624972	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.16789709	-100	-0.23924907	-100	-0.15750366	-100	-0.21953571	-100	-0.1764423	-100	-0.24206212	-100	-0.15801685	-100	-0.19871826	-100	-0.46512243	-100	-0.16881777	-100	-0.23601037	-100	-0.1324807	-100	-0.47362727	-100	-0.18038808	-100	-0.18981443	-100	-0.22305495	-100	-0.19122997	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.35934973	-100	-0.22044261	-100	-0.25435752	-100	-0.17653915	-100	-0.38070324	-100	-0.14077635	-100	-0.19786383	-100	-0.12669918	-100	-0.18206224	-100	-0.15845044	-100	-0.12946318	-100	-0.15536876	-100	-0.24079832	-100	-0.22637215	-100	-0.19512993	-100	-0.31966037	-100	-0.13845116	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.4761086	-100	-0.22703739	-100	-0.25951892	-100	-0.15930605	-100	-0.2073103	-100	-0.2101189	-100	-0.22302617	-100	-0.21552011	-100	-0.28246695	-100	-0.1878166	-100	-0.16352141	-100	-0.21853031	-100	-0.20901428	-100	-0.186272	-100	-0.23946896	-100	-0.29749894	-100	-0.24038528	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.24577302	-100	-0.26699266	-100	-0.30534562	-100	-0.17446733	-100	-0.110536195	-100	-0.12319948	-100	-0.15964064	-100	-0.12739453	-100	-0.19283018	-100	-0.24622498	-100	-0.19236471	-100	-0.11421816	-100	-0.15945816	-100	-0.22809975	-100	-0.23370449	-100	-0.34755382	-100	-0.22813441	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.653611	-100	-0.6477439	-100	-0.77641696	-100	-0.7891537	-100	-0.44065097	-100	-0.63251877	-100	-0.64132506	-100	-0.4308403	-100	-0.48055902	-100	-100	-0.8093628	-0.78929937	-100	-100	-0.69851977	-100	-0.6485989	-0.8714757	-100	-0.78658414	-100	-100	-0.796176	-100	-0.65653455
