prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.24609493	-100	-0.08338913	-100	-0.27174214	-100	-100	-0.57892454	-100	-0.62434226	-0.34032238	-100	-100	-0.6030043	-100	-0.2731157	-0.21336102	-100	-0.14200523	-100	-100	-0.69187003	-0.04555542	-100	-100	-0.48111695	-100	-0.52349967	-100	-0.4808189	-100	-0.94287014	-100	-0.51282734
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.1640532	-100	-100	-0.57657576	-0.14119622	-100	-0.15366049	-100	-100	-0.35463777	-0.3540738	-100	-0.27169147	-100	-100	-0.5515741	-0.42285886	-100	-0.2934836	-100	-0.37298453	-100	-0.27833682	-100	-0.37896976	-100	-100	-0.9275598	-0.17976843	-100	-100	-0.3903062	-100	-0.41919318
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.4912247	-100	-0.2181879	-100	-0.35475805	-100	-0.7126907	-100	-100	-0.77544016	-0.44453824	-100	-0.1986134	-100	-0.26505604	-100	-0.20586132	-100	-0.18883936	-100	-0.29240718	-100	-0.15561832	-100	-0.47916588	-100	-100	-0.7206425	-0.17319244	-100	-0.12566498	-100	-0.5895078	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.4003563	-100	-0.07477967	-100	-0.7518884	-100	-0.25370157	-100	-0.24978657	-100	-0.26880404	-100	-100	-0.43431184	-0.13017565	-100	-0.18241291	-100	-0.3603453	-100	-0.20319901	-100	-0.17337318	-100	-0.43854928	-100	-100	-0.40573257	-0.42691347	-100	-0.21687429	-100	-0.487849	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-100	-1.0378377	-0.14869468	-100	-0.3738044	-100	-0.16683902	-100	-0.2758357	-100	-0.19439957	-100	-0.22997302	-100	-0.17682336	-100	-100	-0.5049392	-0.26979068	-100	-0.087449946	-100	-100	-0.32703623	-0.2541273	-100	-0.72630703	-100	-0.3940741	-100	-100	-0.36042327	-0.14609018	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.78440624	-100	-0.31117356	-100	-0.70262164	-100	-0.68947226	-100	-0.69328576	-100	-0.8328434	-100	-0.083489686	-100	-0.27984536	-100	-0.38872495	-100	-0.31573927	-100	-0.17542449	-100	-0.6931296	-100	-0.23162611	-100	-0.35526767	-100	-0.34003216	-100	-0.38698056	-100	-0.24504915	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-100	-0.5204322	-0.22103426	-100	-100	-0.4960831	-0.56890225	-100	-0.30029747	-100	-0.41334417	-100	-0.60453284	-100	-0.5875385	-100	-0.64626116	-100	-0.33993217	-100	-0.553916	-100	-0.69006395	-100	-0.6976759	-100	-0.5817002	-100	-0.30422634	-100	-100	-0.4148528	-0.29475418	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.55612355	-100	-100	-0.7303231	-0.3866493	-100	-0.24987847	-100	-0.44379216	-100	-0.5479056	-100	-0.12740035	-100	-0.5499602	-100	-0.31538543	-100	-0.28906864	-100	-0.17750897	-100	-0.17581469	-100	-0.31305152	-100	-100	-0.588185	-0.089929	-100	-0.45762417	-100	-0.17012922	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.59232986	-100	-0.6661447	-100	-0.49779722	-100	-0.61192554	-100	-0.398634	-100	-0.59988856	-100	-0.53596985	-100	-100	-0.7479532	-0.21147712	-100	-0.5631215	-100	-0.5363168	-100	-0.5633944	-100	-0.33220354	-100	-100	-0.17600998	-0.6337512	-100	-0.54849136	-100	-0.6262085	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-0.23060231	-0.73384804	-100	-100	-0.44285432	-100	-0.41208634	-100	-0.263897	-100	-0.39736113	-100	-0.1362571	-100	-0.09797764	-100	-0.68132514	-100	-0.23553781	-100	-0.5605856	-100	-0.6368859	-100	-0.3063791	-100	-0.6439429	-0.46239763	-100	-100	-0.18219668	-100	-0.2708775
